| Tournament Name                                | Country        | City / Location | Water Body        | Water Type | Discipline    | Target Fish     | Format     | Level         | Start Date | End Date   | Participants | Prize Pool | Entry Fee | Registration Deadline | Status   |
| ---------------------------------------------- | -------------- | --------------- | ----------------- | ---------- | ------------- | --------------- | ---------- | ------------- | ---------- | ---------- | ------------ | ---------- | --------- | --------------------- | -------- |
| European Feeder Championship 2026              | Italy          | Mantua          | Po River          | River      | Feeder        | Bream, Roach    | Individual | International | 2026-05-15 | 2026-05-18 | 145          | €50,000    | €350      | 2026-03-15            | Open     |
| Italian Carp Open 2026                         | Italy          | Lake Garda      | Lake Garda        | Lake       | Carp          | Carp, Tench     | Team       | National      | 2026-06-10 | 2026-06-13 | 80           | €30,000    | €500      | 2026-04-20            | Open     |
| Polish Open Match Fishing 2026                 | Poland         | Warsaw          | Vistula River     | River      | Match Fishing | Roach, Bream    | Individual | National      | 2026-06-03 | 2026-06-05 | 98           | €25,000    | €250      | 2026-04-30            | Open     |
| Czech National Feeder Championship 2026        | Czech Republic | Prague          | Labe River        | River      | Feeder        | Bream, Roach    | Individual | National      | 2026-07-01 | 2026-07-03 | 120          | €20,000    | €200      | 2026-05-15            | Upcoming |
| German Carp Masters 2026                       | Germany        | Berlin          | Müritz Lake       | Lake       | Carp          | Carp, Pike      | Team       | National      | 2026-07-15 | 2026-07-18 | 70           | €35,000    | €450      | 2026-05-30            | Upcoming |
| Baltic Match Fishing Cup 2026                  | Latvia         | Riga            | Daugava River     | River      | Match Fishing | Bream, Roach    | Individual | International | 2026-08-05 | 2026-08-08 | 110          | €18,000    | €180      | 2026-06-20            | Upcoming |
| Spanish Feeder Grand Prix 2026                 | Spain          | Valencia        | Júcar River       | River      | Feeder        | Carp, Roach     | Individual | National      | 2026-09-10 | 2026-09-12 | 95           | €22,000    | €220      | 2026-07-30            | Upcoming |
| Dutch Carp Classic 2026                        | Netherlands    | Zwolle          | IJssel Lake       | Lake       | Carp          | Carp, Bream     | Team       | National      | 2026-09-20 | 2026-09-23 | 60           | €28,000    | €400      | 2026-08-01            | Upcoming |
| Lake Balaton Match Fishing Festival 2026       | Hungary        | Balaton         | Lake Balaton      | Lake       | Match Fishing | Bream, Carp     | Individual | International | 2026-08-25 | 2026-08-28 | 130          | €40,000    | €300      | 2026-07-01            | Upcoming |
| French National Carp Fishing Championship 2026 | France         | Lyon            | Rhône River       | River      | Carp          | Carp            | Team       | National      | 2026-10-01 | 2026-10-04 | 85           | €32,000    | €350      | 2026-08-15            | Upcoming |
| UK Feeder Open 2026                            | United Kingdom | Birmingham      | River Severn      | River      | Feeder        | Roach, Bream    | Individual | National      | 2026-09-05 | 2026-09-08 | 75           | €15,000    | €200      | 2026-07-25            | Upcoming |
| Swedish National Match Cup 2026                | Sweden         | Gothenburg      | Göta älv          | River      | Match Fishing | Roach, Bream    | Individual | National      | 2026-08-15 | 2026-08-18 | 90           | €20,000    | €220      | 2026-06-30            | Upcoming |
| Italian River Feeder Challenge 2026            | Italy          | Bologna         | Reno River        | River      | Feeder        | Roach, Chub     | Individual | National      | 2026-07-20 | 2026-07-22 | 50           | €12,000    | €180      | 2026-06-01            | Upcoming |
| Spain Coastal Match Open 2026                  | Spain          | Barcelona       | Mediterranean Sea | Sea        | Match Fishing | Sea Bream, Bass | Individual | National      | 2026-09-02 | 2026-09-04 | 65           | €20,000    | €250      | 2026-07-30            | Upcoming |
